method,path,subsystem,actor,handler,purpose,source
GET,/api/v1/admin/activity-logs,Activity Logs,Admin theo permission,get_admin_activity_logs,get admin activity logs,backend/app/routers/admin_activity_logs.py:25
GET,/api/v1/admin/activity-logs/statistics,Activity Logs,Admin theo permission,get_admin_activity_log_statistics,get admin activity log statistics,backend/app/routers/admin_activity_logs.py:57
GET,/api/v1/admin/ai/pricing,Admin AI,Admin theo permission,get_ai_pricing,get ai pricing,backend/app/routers/admin_ai.py:473
GET,/api/v1/admin/ai/quota/defaults,Admin AI,Admin theo permission,get_ai_quota_defaults,get ai quota defaults,backend/app/routers/admin_ai.py:336
PATCH,/api/v1/admin/ai/quota/defaults/{role},Admin AI,Admin theo permission,update_ai_quota_defaults,"Change the role-level default AI quota at runtime (DB-backed), instead of",backend/app/routers/admin_ai.py:343
GET,/api/v1/admin/ai/quota/users/{user_id},Admin AI,Admin theo permission,get_user_ai_quota,get user ai quota,backend/app/routers/admin_ai.py:371
PATCH,/api/v1/admin/ai/quota/users/{user_id},Admin AI,Admin theo permission,update_user_ai_quota,update user ai quota,backend/app/routers/admin_ai.py:379
GET,/api/v1/admin/ai/quota/users/{user_id}/history,Admin AI,Admin theo permission,get_user_ai_quota_history,get user ai quota history,backend/app/routers/admin_ai.py:441
POST,/api/v1/admin/ai/quota/users/{user_id}/reset,Admin AI,Admin theo permission,reset_user_ai_quota,reset user ai quota,backend/app/routers/admin_ai.py:410
GET,/api/v1/admin/ai/usage,Admin AI,Admin theo permission,get_admin_ai_usage,get admin ai usage,backend/app/routers/admin_ai.py:201
GET,/api/v1/admin/content/documents,Admin Content,Admin theo permission,list_admin_documents,list admin documents,backend/app/routers/admin_content.py:161
DELETE,/api/v1/admin/content/documents/{document_id},Admin Content,Admin theo permission,delete_admin_document,delete admin document,backend/app/routers/admin_content.py:368
GET,/api/v1/admin/content/documents/{document_id},Admin Content,Admin theo permission,get_admin_document,get admin document,backend/app/routers/admin_content.py:229
POST,/api/v1/admin/content/documents/{document_id}/quarantine,Admin Content,Admin theo permission,quarantine_admin_document,quarantine admin document,backend/app/routers/admin_content.py:334
POST,/api/v1/admin/content/documents/{document_id}/reprocess,Admin Content,Admin theo permission,reprocess_admin_document,"Actually re-runs the document pipeline (re-extract for non-video documents,",backend/app/routers/admin_content.py:282
POST,/api/v1/admin/content/documents/{document_id}/restore,Admin Content,Admin theo permission,restore_admin_document,restore admin document,backend/app/routers/admin_content.py:386
POST,/api/v1/admin/content/documents/{document_id}/unquarantine,Admin Content,Admin theo permission,unquarantine_admin_document,unquarantine admin document,backend/app/routers/admin_content.py:352
GET,/api/v1/admin/content/exams,Admin Content,Admin theo permission,list_admin_exams,list admin exams,backend/app/routers/admin_content.py:694
GET,/api/v1/admin/content/questions,Admin Content,Admin theo permission,list_admin_questions,list admin questions,backend/app/routers/admin_content.py:461
DELETE,/api/v1/admin/content/questions/{question_id},Admin Content,Admin theo permission,delete_admin_question,delete admin question,backend/app/routers/admin_content.py:610
GET,/api/v1/admin/content/questions/{question_id},Admin Content,Admin theo permission,get_admin_question,get admin question,backend/app/routers/admin_content.py:527
PATCH,/api/v1/admin/content/questions/{question_id},Admin Content,Admin theo permission,update_admin_question,update admin question,backend/app/routers/admin_content.py:573
POST,/api/v1/admin/content/questions/{question_id}/moderate,Admin Content,Admin theo permission,moderate_admin_question,moderate admin question,backend/app/routers/admin_content.py:593
POST,/api/v1/admin/content/questions/{question_id}/regenerate,Admin Content,Admin theo permission,regenerate_admin_question,Regenerate one question from its source document using a single AI,backend/app/routers/admin_content.py:644
POST,/api/v1/admin/content/questions/{question_id}/restore,Admin Content,Admin theo permission,restore_admin_question,restore admin question,backend/app/routers/admin_content.py:628
GET,/api/v1/admin/dashboard/audit-logs,Admin Dashboard,Admin/Analyst,admin_audit_logs,admin audit logs,backend/app/routers/admin.py:476
GET,/api/v1/admin/dashboard/backend-health,Admin Dashboard,Admin/Analyst,admin_backend_health,Protected backend readiness snapshot for the admin dashboard.,backend/app/routers/admin.py:596
GET,/api/v1/admin/dashboard/error-monitoring,Admin Dashboard,Admin/Analyst,admin_error_monitoring,admin error monitoring,backend/app/routers/admin.py:605
GET,/api/v1/admin/dashboard/errors-latency,Admin Dashboard,Admin/Analyst,admin_errors_latency,admin errors latency,backend/app/routers/admin.py:307
GET,/api/v1/admin/dashboard/evaluation,Admin Dashboard,Admin/Analyst,admin_evaluation,admin evaluation,backend/app/routers/admin.py:327
GET,/api/v1/admin/dashboard/overview,Admin Dashboard,Admin/Analyst,admin_overview,admin overview,backend/app/routers/admin.py:251
GET,/api/v1/admin/dashboard/quality,Admin Dashboard,Admin/Analyst,admin_quality,admin quality,backend/app/routers/admin.py:289
GET,/api/v1/admin/dashboard/usage,Admin Dashboard,Admin/Analyst,admin_usage,admin usage,backend/app/routers/admin.py:269
GET,/api/v1/admin/dashboard/users,Admin Dashboard,Admin/Analyst,admin_list_users,admin list users,backend/app/routers/admin.py:335
PATCH,/api/v1/admin/dashboard/users/{user_id}/role,Admin Dashboard,Admin/Analyst,admin_update_user_role,admin update user role,backend/app/routers/admin.py:381
PATCH,/api/v1/admin/dashboard/users/{user_id}/status,Admin Dashboard,Admin/Analyst,admin_update_user_status,admin update user status,backend/app/routers/admin.py:429
GET,/api/v1/admin/users,Admin Users,Admin theo permission,list_admin_users,list admin users,backend/app/routers/admin_users.py:273
POST,/api/v1/admin/users,Admin Users,Admin theo permission,create_admin_user,create admin user,backend/app/routers/admin_users.py:370
GET,/api/v1/admin/users/statistics,Admin Users,Admin theo permission,admin_user_statistics,admin user statistics,backend/app/routers/admin_users.py:333
DELETE,/api/v1/admin/users/{user_id},Admin Users,Admin theo permission,delete_admin_user,delete admin user,backend/app/routers/admin_users.py:580
GET,/api/v1/admin/users/{user_id},Admin Users,Admin theo permission,get_admin_user,get admin user,backend/app/routers/admin_users.py:362
PATCH,/api/v1/admin/users/{user_id},Admin Users,Admin theo permission,update_admin_user,update admin user,backend/app/routers/admin_users.py:425
GET,/api/v1/admin/users/{user_id}/activity,Admin Users,Admin theo permission,get_admin_user_activity,get admin user activity,backend/app/routers/admin_activity_logs.py:67
POST,/api/v1/admin/users/{user_id}/force-logout,Admin Users,Admin theo permission,force_logout_admin_user,force logout admin user,backend/app/routers/admin_users.py:677
POST,/api/v1/admin/users/{user_id}/lock,Admin Users,Admin theo permission,lock_admin_user,lock admin user,backend/app/routers/admin_users.py:527
POST,/api/v1/admin/users/{user_id}/password-reset,Admin Users,Admin theo permission,reset_admin_user_password,reset admin user password,backend/app/routers/admin_users.py:714
