metric,value
generated_at,2026-07-22T23:21:27.437540+00:00
is_synthetic,True
synthetic_notice,Synthetic fixture for pipeline validation only; do not present these metrics as real system performance.
data_inventory.is_synthetic,True
data_inventory.kmeans_sample_groups.content,12
data_inventory.learner_prediction_rows,6
data_inventory.recommendation_sessions,2
data_inventory.ai_explanation_rows,3
kmeans.content.status,ok
kmeans.content.sample_count,12
kmeans.content.feature_count,8
kmeans.content.feature_names[0],semantic_embedding_0
kmeans.content.feature_names[1],semantic_embedding_1
kmeans.content.feature_names[2],semantic_embedding_2
kmeans.content.feature_names[3],difficulty
kmeans.content.feature_names[4],bloom_level_encoded
kmeans.content.feature_names[5],estimated_duration_seconds
kmeans.content.feature_names[6],topic=advanced
kmeans.content.feature_names[7],topic=foundation
kmeans.content.selected_k,2
kmeans.content.silhouette_score,0.9519697314654508
kmeans.content.davies_bouldin_index,0.06179335522823484
kmeans.content.calinski_harabasz_score,2010.5925418114768
kmeans.content.cluster_size_distribution.0,6
kmeans.content.cluster_size_distribution.1,6
kmeans.content.stability.seeds[0],13
kmeans.content.stability.seeds[1],29
kmeans.content.stability.seeds[2],47
kmeans.content.stability.adjusted_rand_index_mean,1.0
kmeans.content.stability.pairwise_adjusted_rand_index[0],1.0
kmeans.content.stability.pairwise_adjusted_rand_index[1],1.0
kmeans.content.stability.pairwise_adjusted_rand_index[2],1.0
kmeans.content.outlier_distance.mean,0.05138742312339319
kmeans.content.outlier_distance.p95,0.09159151716374468
kmeans.content.outlier_distance.max,0.0915915171637447
kmeans.content.cluster_interpretability_review.status,requires_human_review
kmeans.content.cluster_interpretability_review.message,Review representative samples and AI-proposed labels before using cluster names in product UI.
kmeans.content.selection_metrics.selected_k,2
kmeans.content.selection_metrics.silhouette_score,0.9519697314654508
kmeans.content.selection_metrics.davies_bouldin_index,0.06179335522823484
kmeans.content.selection_metrics.calinski_harabasz_score,2010.5925418114768
kmeans.content.selection_metrics.cluster_sizes[0],6
kmeans.content.selection_metrics.cluster_sizes[1],6
kmeans.content.selection_metrics.candidate_metrics[0].k,2
kmeans.content.selection_metrics.candidate_metrics[0].silhouette_score,0.9519697314654508
kmeans.content.selection_metrics.candidate_metrics[0].davies_bouldin_index,0.06179335522823484
